"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"TAC_SWITCHPTH";"TACTILE-PTH";"SW1, SW2, SW3, SW4";"Momentary Switch";"";
"4";"470R";"SMD-RES-470R-5%-1/10W(0603)";"R0603";"R1, R2, R3, R4";"301010088";"";
"4";"CX-G302DC";"DIP-LED-GREEN-GREEN(2P-D3MM)";"LED2-2.54-D3.0MM";"D1, D2, D3, D4";"304090040";"";
"2";"F10";"M10SILK_FEMALE_PTH";"1X10_OCTO";"J101, J102";"Header 10";"";
"16";"JACK-3_5MM-MONO-SW-MIN";"JACK-3_5MM-MONO-SW-MIN";"WQP_PJ301M-MIN";"P1J, P2J, P3J, P4J, P5J, P6J, P7J, P8J, P9J, P10J, P11J, P12J, P13J, P14J, P15J, P16J";"Jack, 3.5mm, RIght Angle, Though-Hole";"";
"4";"PA_LOGO_SYMSMALL";"PA_LOGO_SYMSMALL";"PA_LOGO_AGENT_SMALL_SYM";"U$25, U$26, U$27, U$28";"PatternAgents Logo Symbol";"";
